"Accession","Mean","Median","Number of peptides","P-Value"
"P62316","0.057710982040599636","0.058882833340127803","3","0.31086601136254099"
"Q13425","0.16718822720530069","0.17488424215322501","3","0.80291955012395155"
"Q99747","0.15047012136650836","0.16858787114301299","4","0.94779699392272554"
"Q13423","0.097602790036116466","0.091428057082616296","21","0.14330385299612267"
"Q96KC8","0.042335444623603689","0.033874602581106097","4","0.16913370565418748"
"P00505","0.025313463905454598","0.025313463905454598","2","0.25737945371580068"
"P07437","0.1483441246417096","0.151414014144924","5","0.96686682769284027"
"O60313","0.068196892991230773","0.06401657877165845","12","0.074301659792634617"
"decoy","0.017464850136393269","0.1274869549161505","30","4.2876707723040136e-06"
"Q9Y490","0.12126497386117266","0.12126497386117266","2","0.81902335007144622"
"Q9BQG0","0.10808066024433692","0.12296933462807","4","0.61763840303880535"
"P61619","-0.015833982409315751","-0.015833982409315751","2","0.12846404796999633"
"P62495","0.14992306513976403","0.16159983238388001","3","0.95981093877618595"
"P39748","0.14821126261690135","0.152425618174274","3","0.975554540172197"
"P43243","0.11538290304594923","0.092763678586348958","6","0.62253896307648304"
"P08107","0.035920027325231217","0.01947080445153344","4","0.1441676624673838"
"Q99828","0.1148463147914766","0.11326666426441859","6","0.61636143640335717"
"P08069","0.33433453675302982","0.30184915091863002","5","0.0049323150419706193"
"P22314","0.22239049880691933","0.17341620792624499","3","0.3754058867531529"
"P61006","0.14380772304629402","0.14380772304629402","2","0.98686770258657863"
"O75915","0.18493192764201302","0.18568708118685201","3","0.64963429567173447"
"Q5SGD2","0.19510389247716367","0.216333551912119","3","0.56758088920069438"
"P50395","0.1580486468538265","0.1580486468538265","2","0.90631879632608792"
"Q9UKV5","0.138045253932706","0.138045253932706","2","0.94360520041098384"
"Q9NWS8","0.09619139290059231","0.09619139290059231","2","0.64194457560457852"
"P30101","0.036472260299601475","0.075317380832459799","17","0.0027458227978481011"
"P27797","0.058236378527068457","0.059449397681190702","9","0.081028238080538037"
"O14734","0.023703652813193133","0.057796788364946297","3","0.15980856941127136"
"Q96FZ7","0.18292199420063898","0.18292199420063898","2","0.72485491387907841"
"P35606","0.11779558879147124","0.098334668125637195","7","0.62471255400959969"
"Q96FZ5","0.1301987058443719","0.1301987058443719","2","0.8849877645944626"
"P30040","0.033791285927256783","0.031019094314857752","4","0.13653785366702165"
"Q9BUN8","0.02221048598048395","0.02221048598048395","2","0.24530170276325633"
"Q13641","0.48995728582903253","0.48995728582903253","2","0.0011791329997679902"
"Q9UBS4","0.27851257645827898","0.27013472203288647","4","0.07654154926773761"
"P78527","0.095345051301274325","0.096652358767247842","20","0.13477208837748653"
"A2RRP1","0.19252883444645064","0.13205519636469601","3","0.58788590293579168"
"P25205","0.16986580725887368","0.151674393547539","4","0.74605628438441618"
"Q15126","0.15056964919129351","0.115379502505513","3","0.95386826665158253"
"P05362","0.22231227825810571","0.21791186015253899","11","0.089966038277994709"
"P27701","0.439279465984171","0.44233917409941897","3","0.00070323216464091714"
"P48735","0.087054526881222102","0.087054526881222102","2","0.58160171024985163"
"Q02127","0.10636500385518433","0.11597047193173041","4","0.60163049414674963"
"Q8NBQ5","0.069235432725936949","0.069235432725936949","2","0.47220766172883788"
"Q8NFY4","-0.15047496714817801","-0.15047496714817801","2","0.0052981527604544863"
"Q9Y5Y0","0.11978645236248163","0.12086933071832195","4","0.73139889839588856"
"Q96AG4","0.088598575903200763","0.073384501115401707","7","0.31552870754806989"
"P62244","0.069477841628403758","0.069477841628403758","2","0.47361508708606181"
"Q9Y4L1","0.047024145400738009","0.047904376463041749","12","0.023007542188743811"
"Q9Y487","0.14900941207118459","0.1378592501438875","8","0.94811458001882054"
"Q96HS1","0.31193487519604801","0.31193487519604801","2","0.11707936040414288"
"Q9NZL4","-0.1220909934314235","-0.1220909934314235","2","0.011709549937609526"
"Q8NBN3","0.18706512111176749","0.18706512111176749","2","0.69579416879264766"
"Q9BSA9","0.13407738896632782","0.13407738896632782","2","0.91390500631997706"
"O43759","0.19314066013798098","0.19314066013798098","2","0.65398530698488933"
"Q13283","0.16289683877383582","0.14167275882340599","5","0.79619146985259837"
"Q9UQ49","0.092084157461510607","0.11120110239491929","4","0.47628333129396527"
"O43752","0.15351732650436967","0.14371683737660501","3","0.92681239052762954"
"Q86UN3","0.29966917529849246","0.31982194264268299","4","0.040080989533903974"
"Q9Y282","0.41672731194872931","0.40739311453001997","7","1.7707750693064939e-06"
"P84098","0.097052868295058242","0.097052868295058242","2","0.64776682036179811"
"Q04656","0.088647813848130877","0.10259196155101399","5","0.39669056255543356"
"Q92643","0.30754060550871271","0.29179628607598951","4","0.030945608556160346"
"O00159","0.11469680000369435","0.127758176884466","19","0.37031084356802846"
"Q99541","0.03527271523151785","0.03527271523151785","2","0.29889736061810712"
"P48651","0.094478368260058954","0.094478368260058954","2","0.63043259212652603"
"Q15392","0.2061595892788495","0.2061595892788495","2","0.56809172975999211"
"Q9Y678","0.17249081319163173","0.132533838208061","9","0.59045538960648147"
"P61225","0.11359269940050651","0.11359269940050651","2","0.76336061862819016"
"P84095","0.15411118120027203","0.17070338029557899","5","0.89860019990572126"
"P61221","0.12466840433482629","0.119612508862194","5","0.75574200736537633"
"Q14498","0.12562413092644459","0.12740656499113601","4","0.79062207966242659"
"P01834","0.082069427534381928","0.065323039421981505","4","0.39772059883392197"
"Q9UJZ1","0.10187526614399242","0.096329965705364604","4","0.56065614549213727"
"Q14554","0.14899007217042451","0.14899007217042451","2","0.97418846078703558"
"P34910","0.17969032465007301","0.183336690740665","4","0.64930982206470367"
"Q96KP4","0.19563036729619615","0.19563036729619615","2","0.6371561322430993"
"P07099","0.083081551419057556","0.083081551419057556","2","0.55621735396286853"
"P57088","0.12588633310687847","0.13498470315799849","4","0.79331249265593096"
"P52569","0.083541601879007249","0.033322604726515208","4","0.40876509129917271"
"P20042","0.092133194854206249","0.092133194854206249","2","0.61481790042765705"
"Q86VR2","0.157643531794398","0.157643531794398","2","0.90934314648723269"
"O75694","0.15790697637495646","0.152953068316311","7","0.82769165659818489"
"O75695","0.13310591112946102","0.13310591112946102","2","0.90664996091016703"
"P13987","0.21361968949075849","0.20671072259576051","4","0.36456653814752982"
"P21964","0.058250366308668935","0.0506072091193061","5","0.19351053548779951"
"P52907","0.17733078437983898","0.18439304389934","3","0.71393262250779821"
"P13598","0.364206036114194","0.364206036114194","2","0.039443135766381476"
"P12109","0.32793586357927951","0.32793586357927951","2","0.085814485161034723"
"Q9UBV2","0.18992764059201522","0.175935499381252","5","0.50870212367047707"
